Item ID,Item Name,Category,Stock Quantity,Reorder Level,Unit Price,Supplier,Last Ordered Date,Next Restock Date,Warehouse Location,Stock Status,Stock Value,Month of Last Order,Total Value,,
ELE0001,Electronics Item 1,Category C,145,170,? 373.36,Supplier Z,1/1/2023,7/1/2023,Warehouse B,Below Reorder,"? 54,137.20",Jan-2023,54137.20,,
ELE0002,Electronics Item 2,Category A,481,165,? 361.87,Supplier Y,1/8/2023,7/8/2023,Warehouse A,Sufficient,"? 174,059.47",Jan-2023,174059.47,,
ELE0003,Electronics Item 3,Category C,72,52,? 157.49,Supplier Y,1/15/2023,7/15/2023,Warehouse A,Sufficient,"? 11,339.28",Jan-2023,11339.28,,
ELE0004,Electronics Item 4,Category C,148,152,? 273.56,Supplier Y,1/22/2023,7/22/2023,Warehouse C,Below Reorder,"? 40,486.88",Jan-2023,40486.88,,
ELE0005,Electronics Item 5,Category A,90,186,? 256.86,Supplier X,1/29/2023,7/29/2023,Warehouse A,Below Reorder,"? 23,117.40",Jan-2023,23117.40,,
ELE0006,Electronics Item 6,Category A,401,111,? 319.98,Supplier X,2/5/2023,8/5/2023,Warehouse C,Sufficient,"? 128,311.98",Feb-2023,128311.98,,
ELE0007,Electronics Item 7,Category C,172,100,? 128.98,Supplier X,2/12/2023,8/12/2023,Warehouse B,Sufficient,"? 22,184.56",Feb-2023,22184.56,,
ELE0008,Electronics Item 8,Category B,428,108,? 296.99,Supplier X,2/19/2023,8/19/2023,Warehouse A,Sufficient,"? 127,111.72",Feb-2023,127111.72,,
ELE0009,Electronics Item 9,Category C,298,167,? 489.55,Supplier X,2/26/2023,8/26/2023,Warehouse C,Sufficient,"? 145,885.90",Feb-2023,145885.90,,
ELE0010,Electronics Item 10,Category C,388,145,? 245.94,Supplier Z,3/5/2023,9/2/2023,Warehouse C,Sufficient,"? 95,424.72",Mar-2023,95424.72,,
ELE0011,Electronics Item 11,Category C,270,162,? 453.52,Supplier Z,3/12/2023,9/9/2023,Warehouse B,Sufficient,"? 122,450.40",Mar-2023,122450.40,,
ELE0012,Electronics Item 12,Category C,499,111,? 220.03,Supplier X,3/19/2023,9/16/2023,Warehouse A,Sufficient,"? 109,794.97",Mar-2023,109794.97,,
ELE0013,Electronics Item 13,Category A,240,101,? 178.29,Supplier Y,3/26/2023,9/23/2023,Warehouse A,Sufficient,"? 42,789.60",Mar-2023,42789.60,,
ELE0014,Electronics Item 14,Category C,50,61,? 324.33,Supplier X,4/2/2023,9/30/2023,Warehouse C,Below Reorder,"? 16,216.50",Apr-2023,16216.50,,
ELE0015,Electronics Item 15,Category B,37,88,? 336.12,Supplier Z,4/9/2023,10/7/2023,Warehouse A,Below Reorder,"? 12,436.44",Apr-2023,12436.44,,
ELE0016,Electronics Item 16,Category A,144,179,? 432.76,Supplier Z,4/16/2023,10/14/2023,Warehouse C,Below Reorder,"? 62,317.44",Apr-2023,62317.44,,
ELE0017,Electronics Item 17,Category B,210,180,? 118.94,Supplier Y,4/23/2023,10/21/2023,Warehouse A,Sufficient,"? 24,977.40",Apr-2023,24977.40,,
ELE0018,Electronics Item 18,Category B,337,162,? 252.10,Supplier Z,4/30/2023,10/28/2023,Warehouse C,Sufficient,"? 84,957.70",Apr-2023,84957.70,,
ELE0019,Electronics Item 19,Category B,277,150,? 288.14,Supplier X,5/7/2023,11/4/2023,Warehouse A,Sufficient,"? 79,814.78",May-2023,79814.78,,
ELE0020,Electronics Item 20,Category B,427,162,? 385.43,Supplier Y,5/14/2023,11/11/2023,Warehouse B,Sufficient,"? 164,578.61",May-2023,164578.61,,
ELE0021,Electronics Item 21,Category A,42,130,? 26.58,Supplier X,5/21/2023,11/18/2023,Warehouse A,Below Reorder,"? 1,116.36",May-2023,1116.36,,
ELE0022,Electronics Item 22,Category A,57,162,? 497.30,Supplier X,5/28/2023,11/25/2023,Warehouse A,Below Reorder,"? 28,346.10",May-2023,28346.10,,
ELE0023,Electronics Item 23,Category B,416,51,? 237.62,Supplier Y,6/4/2023,12/2/2023,Warehouse B,Sufficient,"? 98,849.92",Jun-2023,98849.92,,
ELE0024,Electronics Item 24,Category B,71,179,? 143.38,Supplier X,6/11/2023,12/9/2023,Warehouse A,Below Reorder,"? 10,179.98",Jun-2023,10179.98,,
ELE0025,Electronics Item 25,Category A,225,103,? 442.33,Supplier Z,6/18/2023,12/16/2023,Warehouse B,Sufficient,"? 99,524.25",Jun-2023,99524.25,,
